gene,U_statistic_MWU,p_value_MWU,FDR,hbNeutrophils,htNeutrophils,fold_change
AP001767.4,12263049,4.70069E-05,7.39735E-05,0.028759489,0.010071408,0.851663087
AP002360.1,12926788.5,1.1199E-22,7.40217E-22,0.278712745,0.145249715,0.64498591
AP002490.1,12405807.5,1.13217E-09,2.93215E-09,0.075026726,0.025976624,0.715240966
AP002807.1,12204436,0.047533653,0.055491339,0.029568857,0.020908296,0.931695485
AP003068.2,12291369.5,7.76641E-06,1.33211E-05,0.035101739,0.013160642,0.834189412
AP003108.2,12680879,3.28838E-19,1.77585E-18,0.150119921,0.055371347,0.616936734
AP003108.3,12269656,0.00014598,0.000216558,0.035507473,0.016711205,0.858389336
AP003122.2,12301584,1.43016E-06,2.66462E-06,0.034533982,0.01283689,0.835326831
AP003306.2,12175235.5,0.412001219,0.436084798,0.021682435,0.024730483,1.025633887
AP003352.1,12361852.5,3.6848E-08,8.18749E-08,0.057722438,0.022782469,0.774503699
AP003354.2,11749501.5,2.0659E-54,4.2906E-53,0.003887951,0.140480168,2.350893707
AP003392.4,12264690,2.85641E-05,4.59061E-05,0.027204853,0.009763334,0.859827972
AP003680.1,12584119,5.84684E-13,2.00613E-12,0.152066883,0.072364654,0.680284902
AP003733.4,12234003.5,0.095550233,0.10841857,0.083642637,0.094909994,1.062296304
AP003774.3,12482958,3.13434E-13,1.1004E-12,0.087248605,0.028791829,0.683114968
AP003969.2,12510020.5,2.54197E-15,1.04429E-14,0.083237666,0.017707331,0.636875
AP004147.1,12667873,1.86178E-20,1.0857E-19,0.128112889,0.039161109,0.605250741
AP005131.1,12245627.5,0.004801614,0.006156666,0.036893649,0.027296084,0.928439494
AP005482.3,12286115,1.70041E-07,3.50619E-07,0.028917781,0.002720269,0.792317808
AP005717.1,12291642.5,1.31116E-05,2.19264E-05,0.03497057,0.017468948,0.867607632
AP005899.1,12301798.5,1.38056E-06,2.57723E-06,0.039155813,0.012697436,0.805995675
AP006545.1,12290163.5,6.67165E-06,1.15329E-05,0.034036441,0.015780512,0.860918841
AP006621.3,12397620.5,7.55099E-11,2.15718E-10,0.06151449,0.014003325,0.700696372
AP006623.1,12473570,8.12004E-09,1.93708E-08,0.120322204,0.069154643,0.764797387
AP1G1,12105985.5,0.332073662,0.35536912,0.100794213,0.14129142,1.204511989
AP1G2,12262449,2.5575E-05,4.14033E-05,0.028808056,0.008220354,0.836647782
AP1M1,12889739.5,1.55714E-25,1.21457E-24,0.2276057,0.091308693,0.580405412
AP1S2,12021138,0.014991944,0.018367529,0.12506282,0.187168761,1.279394848
AP1S3,12830428.5,3.54231E-27,3.00799E-26,0.167740419,0.052546786,0.565249546
AP2A1,13228184.5,1.11443E-34,1.29976E-33,0.38368368,0.166515556,0.548420844
AP2A2,12335329,1.74314E-06,3.21029E-06,0.057767375,0.035390739,0.855627064
AP2B1,12018695.5,0.000672819,0.00093337,0.056046008,0.106612142,1.329914244
AP2M1,12445254,1.24107E-06,2.32843E-06,0.159852666,0.113896053,0.821234192
AP2S1,12238735.5,0.021606387,0.026118576,0.058343548,0.056097902,0.985564872
AP3B1,12257486.5,0.00143527,0.001928987,0.052526518,0.027201313,0.830884626
AP3D1,12235296.5,0.031016713,0.036878611,0.064620574,0.057136658,0.953758775
AP3M1,12669095.5,4.55944E-19,2.43632E-18,0.145731001,0.045012326,0.585443994
AP3S1,12455136.5,1.37833E-06,2.57363E-06,0.194140581,0.14810063,0.84198537
AP3S2,12395283.5,2.09384E-10,5.77312E-10,0.060523121,0.018031571,0.730635928
AP4B1-AS1,12454919.5,4.1045E-10,1.10518E-09,0.092082213,0.047982738,0.767047528
AP4M1,12234897.5,0.001483793,0.001990476,0.024776353,0.01411164,0.912584953
AP4S1,12513745.5,8.04583E-15,3.18983E-14,0.086241108,0.028574942,0.685684113
AP5B1,12857096,3.84034E-28,3.38444E-27,0.197343696,0.050245,0.500629457
AP5M1,12268732,0.000128356,0.000191767,0.037980957,0.020120461,0.867901106
AP5S1,12345542.5,2.18062E-09,5.51004E-09,0.042798449,0.007055932,0.744738212
AP5Z1,11953117,1.98963E-08,4.55959E-08,0.040060594,0.106975164,1.487413105
APAF1,12723924.5,3.03194E-19,1.64148E-18,0.217849791,0.074152647,0.543926199
APBA1,12342504,1.19073E-07,2.50498E-07,0.053086604,0.023979495,0.806354269
APBA2,12508445.5,9.56015E-14,3.49592E-13,0.092154341,0.029949443,0.67153201
APBA3,12243699.5,0.008208682,0.010312,0.040397325,0.043543732,1.022862701
APBB1IP,13903545.5,1.53316E-63,3.78633E-62,0.777022543,0.276385738,0.427350895
APBB3,12080547,0.001570561,0.002102946,0.021250973,0.048860094,1.233036532
APC,12450541.5,2.81126E-12,9.09202E-12,0.0834698,0.024103268,0.671453267
APCDD1,12915097.5,4.33509E-25,3.29199E-24,0.265703036,0.109392388,0.569306216
APH1A,12564266.5,1.76355E-13,6.30184E-13,0.163408138,0.070902034,0.645070957
APH1B,12163506.5,0.805864332,0.818687491,0.053795711,0.044775656,0.940272545
APIP,12330195,0.000538815,0.000754515,0.094209857,0.09789085,1.019228484
APLP1,12331951.5,7.79482E-07,1.49963E-06,0.049809818,0.021207446,0.805471502
APLP2,11149858.5,2.09718E-25,1.62843E-24,0.443472011,0.867816503,1.784810809
APMAP,13574911,1.45551E-49,2.63552E-48,0.708378677,0.201831648,0.371220195
APOBEC3A,12926766.5,3.00089E-13,1.05527E-12,0.655883998,0.545325617,0.853197279
APOBEC3C,12503488,8.09143E-15,3.20644E-14,0.083242147,0.02137424,0.657178226
APOBEC3G,12566838,7.03165E-13,2.38982E-12,0.136866177,0.066242308,0.698305544
APOBR,12919460.5,9.5001E-25,7.06483E-24,0.285004642,0.123520143,0.577519169
APOE,11897109.5,9.41404E-40,1.29203E-38,0.000894507,0.084681019,1.853927159
APOL1,12528509.5,1.52014E-13,5.46602E-13,0.11753226,0.043493615,0.655244224
APOL2,12374122,3.74797E-08,8.32142E-08,0.085940636,0.029687733,0.69288428
APOL6,12322430,0.00095305,0.001304692,0.143026081,0.096367209,0.805790828
APOLD1,12230125,0.000636523,0.000884726,0.030642881,0.006675103,0.812557571
APOOL,12245789,0.00021872,0.000317953,0.024727685,0.007114064,0.855569486
APOPT1,12574551,8.37354E-14,3.08162E-13,0.128936444,0.062593443,0.706655839
APP,12276534,0.002728239,0.003573662,0.061248216,0.05616126,0.967900118
APPBP2,12210694,0.258816252,0.280560593,0.107371635,0.126008674,1.091091832
APPL1,12243551.5,0.006877138,0.008695035,0.041098106,0.031646508,0.931669913
APPL2,12349015.5,2.8554E-07,5.75419E-07,0.0698794,0.024713448,0.729713413
APTR,12234064,0.001277196,0.001725957,0.032692345,0.013895541,0.855316686
AQP9,11678097.5,0.00030594,0.000437369,1.243072041,1.617213074,1.279147944
AQR,12307798.5,4.12196E-06,7.28912E-06,0.04911233,0.018362197,0.789867483
ARAF,12185646.5,0.249875062,0.271380186,0.030970426,0.02862904,0.981735738
ARAP1,13233581.5,4.44211E-32,4.70929E-31,0.432429751,0.210603693,0.581187078
ARAP2,12063616.5,0.001133549,0.001538834,0.022883923,0.052517331,1.246722082
ARAP3,12551200,3.87815E-14,1.46797E-13,0.157021993,0.053365576,0.592299574
ARCN1,12274207.5,0.02475605,0.029725883,0.135540167,0.116484499,0.918133343
AREG,11448772.5,2.7882E-114,1.2199E-112,0.000355218,0.336285618,4.442624104
AREL1,12333423.5,0.000751476,0.001037478,0.143666858,0.097700239,0.809181145
ARF1,11618709,3.22751E-06,5.76537E-06,0.819603364,1.057864463,1.259875491
ARF3,12438522,4.71338E-06,8.27216E-06,0.172739955,0.128826167,0.837334945
ARF4,11322351,1.03218E-36,1.27455E-35,0.150321377,0.418908632,2.084999773
ARF5,12470542.5,2.08473E-11,6.28263E-11,0.098540663,0.042675893,0.714633797
ARF6,12415878.5,1.23023E-05,2.0621E-05,0.193762699,0.118431062,0.741117034
ARFGAP2,12319678,6.2655E-06,1.08657E-05,0.054545421,0.029736192,0.836533984
ARFGAP3,12242876,0.033845856,0.040093105,0.094964053,0.091654749,0.982780955
ARFGEF1,12281711.5,0.003280203,0.00427006,0.086931806,0.064565772,0.878548661
ARFGEF3,12467504.5,4.32994E-12,1.37813E-11,0.08174042,0.030325035,0.712706962
ARFIP1,12213054.5,0.27488937,0.296863987,0.130460457,0.161635114,1.136920126
ARFIP2,12390273.5,7.82584E-09,1.87052E-08,0.064640797,0.035067688,0.817298062
ARG1,12294231,0.011301882,0.013985775,0.133852371,0.112037998,0.905596915
ARGLU1,12240127.5,0.043473314,0.050930609,0.082557876,0.070003213,0.930167456
ARHGAP1,12558647.5,2.96914E-14,1.13435E-13,0.175166944,0.059888673,0.576791929
ARHGAP15,12623622.5,4.26764E-12,1.3588E-11,0.249840095,0.142016343,0.689326586
ARHGAP18,11786527.5,8.0078E-35,9.36489E-34,0.015071281,0.124347702,1.973112152
ARHGAP19,12301733,4.55455E-06,8.00646E-06,0.043118628,0.014901272,0.798940281
ARHGAP21,12270808.5,0.000282135,0.000405151,0.037006734,0.022328964,0.89065312
ARHGAP22,12496222.5,2.59891E-11,7.75624E-11,0.108010827,0.050913454,0.721795633
ARHGAP24,12226265,0.017270549,0.021063374,0.038574375,0.024796368,0.898541108
ARHGAP25,13921537,3.83028E-64,9.56905E-63,0.819676135,0.323885937,0.459275998
ARHGAP26,13085664.5,1.00794E-16,4.58923E-16,0.843612583,0.599669433,0.740716915
ARHGAP27,13239974.5,1.57688E-41,2.28807E-40,0.392534948,0.116886443,0.437175764
ARHGAP27P1-BPTFP1-KPNA2P3,12245235,0.002687617,0.003522057,0.039277788,0.020859467,0.865069543
ARHGAP29,12444667,8.37245E-11,2.38237E-10,0.081035223,0.035947854,0.747069276
ARHGAP30,13392077.5,4.24647E-39,5.75477E-38,0.645128607,0.248725419,0.466018035
ARHGAP31,12228821.5,0.001723295,0.002299239,0.022869239,0.014347531,0.92904122
ARHGAP4,12290770.5,0.000194408,0.000283856,0.054309741,0.030839708,0.845117326
ARHGAP44,12461544.5,1.92597E-13,6.85949E-13,0.071671228,0.017749915,0.680742053
ARHGAP45,12860334,2.69092E-23,1.84218E-22,0.279831207,0.101508691,0.527065901
ARHGAP8,12292168,2.50305E-05,4.05752E-05,0.040338915,0.018504783,0.841279554
ARHGAP9,14951796.5,6.0721E-118,2.7401E-116,1.151050917,0.338535234,0.349089431
ARHGDIA,11258041.5,6.01061E-56,1.27915E-54,0.090639621,0.38049908,2.542920528
ARHGDIB,17337233,6.5739E-272,8.717E-270,3.594550548,1.116167555,0.328674435
ARHGEF1,12700210,4.03651E-17,1.88567E-16,0.189915882,0.086122849,0.638528651
ARHGEF10,12555949.5,5.50774E-14,2.0586E-13,0.121147791,0.050631495,0.677082263
ARHGEF11,12294399.5,6.45443E-05,9.99834E-05,0.05905096,0.023881253,0.774950588
ARHGEF12,12698014,1.536E-16,6.92407E-16,0.184293513,0.104872383,0.717882633
ARHGEF15,12599975,1.53156E-18,7.89031E-18,0.114683635,0.032040376,0.610004369
ARHGEF2,12794309.5,2.10544E-14,8.13029E-14,0.441945325,0.272041111,0.684878129
ARHGEF26-AS1,12295410,0.00060161,0.000838499,0.065021528,0.049905555,0.906833035
ARHGEF3,12141019,0.604027209,0.624908236,0.025784642,0.034951967,1.074525534
ARHGEF39,12444885,9.78082E-12,3.02805E-11,0.07252331,0.019064364,0.685068479
ARHGEF4,12430522,2.43298E-11,7.2812E-11,0.07196614,0.01849489,0.683958642
ARHGEF40,13777753.5,1.11292E-68,2.97895E-67,0.701670822,0.145900272,0.304326221
ARHGEF6,12454658,2.08451E-10,5.75108E-10,0.106243588,0.040841622,0.678564064
ARHGEF7,12156037,0.947367396,0.950565726,0.01876767,0.021883055,1.026858576
ARID1A,13309695,4.11376E-37,5.1837E-36,0.442864771,0.192310737,0.536087768
ARID1B,12974736,1.32222E-28,1.18464E-27,0.262548838,0.10735813,0.568643149
ARID2,12278870,0.000408085,0.000577361,0.05662015,0.037341328,0.874686461
ARID3A,13066890,2.69806E-29,2.5113E-28,0.344112392,0.14360576,0.545683533
ARID3B,12522961.5,4.60127E-09,1.12634E-08,0.172494379,0.112068712,0.775967999
ARID4A,12658957.5,2.03355E-17,9.6996E-17,0.196931447,0.073973744,0.581998289
ARID4B,13273736,3.59187E-25,2.7421E-24,0.68891057,0.452446664,0.699207038
ARID5A,12091257.5,0.228810218,0.249666448,0.132445762,0.149989698,1.076387486
ARIH1,11895100,1.70679E-05,2.81924E-05,0.132805129,0.231841199,1.430536082
ARIH2,12173649,0.632483779,0.652781426,0.061803345,0.068070557,1.039409514
ARIH2OS,12619308,1.69358E-19,9.34507E-19,0.114807296,0.028932081,0.594989037
ARL10,12582454.5,6.54363E-19,3.45585E-18,0.098437745,0.016967368,0.583617353
ARL11,12541564,1.29573E-08,3.0249E-08,0.232864026,0.169271974,0.807348512
ARL16,12298269.5,0.0002006,0.000292798,0.062683059,0.036733742,0.837723043
ARL17B,12311716,9.13261E-07,1.743E-06,0.038579637,0.01469633,0.824134218
ARL2,12925817,3.91404E-22,2.51755E-21,0.293563428,0.170256704,0.684466419
ARL2BP,12198335,0.063357853,0.073113045,0.023454547,0.021635265,0.98492463
ARL3,12288084,6.05481E-06,1.05214E-05,0.040289287,0.013511781,0.805274067
ARL4A,12140764,0.503969923,0.526894319,0.017942368,0.02499335,1.061224026
ARL5A,12265294.5,0.000270409,0.000388831,0.037426553,0.020016184,0.870700115
ARL5B,10316202.5,1.7156E-270,2.2404E-268,0.012118501,0.621252509,6.570853408
ARL6IP1,12055287,0.042367143,0.04968196,0.108868884,0.152953037,1.213903743
ARL6IP5,12125662.5,0.666299634,0.685711826,0.216534831,0.249900039,1.10634012
ARL6IP6,12202549.5,0.064817263,0.074757124,0.030531882,0.019269731,0.911846689
ARL8A,11941569.5,0.001091245,0.001484211,0.190803746,0.273885852,1.288451213
ARL8B,11945731.5,1.92845E-08,4.42645E-08,0.043575186,0.110729873,1.476951858
ARMC10,12427062.5,2.98115E-08,6.69651E-08,0.096864556,0.058966171,0.804737168
ARMC7,12261644,2.9777E-06,5.34127E-06,0.033845285,0.001852304,0.755908864
ARMC8,12194286.5,0.320785585,0.3439725,0.072552061,0.060252036,0.9275517
ARMC9,12501011.5,3.4523E-12,1.10738E-11,0.096294733,0.045067967,0.735288546
ARNT,12248335,0.010153345,0.012635728,0.059563383,0.043992786,0.900690071
ARNT2,13110782,3.75609E-34,4.30502E-33,0.274044773,0.114896711,0.57134064
ARNTL,12350775,2.14335E-06,3.91222E-06,0.101969939,0.040502767,0.691421292
ARNTL2,12446528.5,2.0354E-09,5.15217E-09,0.094119904,0.04952924,0.766961273
ARPC1A,12315957.5,0.000139291,0.000207349,0.089218178,0.066223629,0.876666944
ARPC1B,15516992.5,7.1342E-143,3.8193E-141,1.608796156,0.512666845,0.357493541
ARPC2,15444901.5,6.771E-109,2.833E-107,3.578798648,1.923536379,0.549713865
ARPC3,14034887.5,1.33806E-42,1.97817E-41,2.167519252,1.269804813,0.603613245
ARPC4,12446288.5,0.002686335,0.003520913,0.525746796,0.493455015,0.948164901
ARPC5,13090436,7.97407E-12,2.48566E-11,2.01437,1.628370917,0.817200188
ARPIN,12512100.5,3.68696E-14,1.39745E-13,0.091410811,0.031249342,0.681070004
ARPP19,12323377,0.001299703,0.001754721,0.131323786,0.09815334,0.854864621
ARRB1,12300988,2.99466E-05,4.80205E-05,0.068599478,0.036192208,0.804568288
ARRB2,12988834,2.83891E-09,7.07388E-09,2.072503802,1.827572443,0.887114273
ARRDC1,12358520.5,1.07463E-06,2.03298E-06,0.083636376,0.040643948,0.762290103
ARRDC2,11933327,9.29259E-12,2.88311E-11,0.036005906,0.139661754,1.778019263
ARRDC3,12343287.5,0.007912878,0.009959272,0.237295106,0.221537625,0.952895199
ARRDC3-AS1,12401516,1.30611E-08,3.04829E-08,0.074369613,0.036613716,0.779969785
ARRDC4,12175101.5,0.456448314,0.480357512,0.036814215,0.030240985,0.950960228
ARSA,12325476.5,6.76981E-07,1.31422E-06,0.054896592,0.019534148,0.767537583
ARSD,12783827,7.24042E-22,4.58188E-21,0.186547522,0.076963979,0.613832506
ARSG,12767188.5,1.31599E-15,5.53023E-15,0.257007633,0.168767055,0.750896201
ARSK,12403341.5,3.2141E-09,7.96959E-09,0.072698612,0.025582144,0.722718947
ART3,12460326.5,2.95861E-10,8.06205E-10,0.092643719,0.043139153,0.739268858
AS3MT,12234997,0.014041639,0.017240838,0.039562923,0.0304387,0.933296342
ASAH1,10300841,3.95815E-53,7.98953E-52,0.845096109,1.927817519,2.148994686
ASAP1,13176868,1.18822E-29,1.13038E-28,0.50854619,0.232733891,0.544691928
ASAP1-IT2,12390020.5,8.06832E-11,2.30039E-10,0.06098127,0.016258204,0.717310833
ASB11,12379785,1.65625E-10,4.596E-10,0.052817062,0.010182241,0.715846654
ASB3,12320170,1.50832E-05,2.5068E-05,0.059728909,0.036428531,0.851545924
ASB7,12281302,8.51125E-07,1.63164E-06,0.034003363,0.004981623,0.778844736
ASB8,12754281,1.98241E-24,1.44677E-23,0.170205081,0.039524507,0.511345909
ASCC2,12138070,0.524282266,0.547068868,0.02432038,0.03590483,1.095310038
ASF1B,12533181.5,1.23483E-18,6.38836E-18,0.10817896,0.010763911,0.525738107
ASGR1,12313447,3.87245E-06,6.86903E-06,0.047490106,0.020841256,0.815852423
ASH1L,12487334.5,1.19646E-08,2.80301E-08,0.173789861,0.101952427,0.734931297
ASH2L,12381896.5,1.81219E-07,3.72153E-07,0.085411855,0.03985285,0.750548037
ASMTL,12127860.5,0.232109105,0.253041788,0.016519815,0.029213766,1.111600721
ASNA1,12227601,0.015631906,0.019127115,0.040576198,0.028297388,0.910894449
ASNSD1,12279087,3.53581E-05,5.62583E-05,0.047188963,0.016179189,0.785270943
ASPH,12197725,0.452701012,0.476763199,0.1591324,0.161880465,1.010719683
ASPRV1,12221316,0.010527874,0.013069242,0.033913838,0.018123711,0.879591864
ASPSCR1,12272472,5.41997E-05,8.47355E-05,0.033854071,0.011476543,0.829281606
ASRGL1,12280113.5,0.000236478,0.00034244,0.042271293,0.026598729,0.887648511
ASXL1,12190872.5,0.129639993,0.14511261,0.023489029,0.018572067,0.959267527
ASXL2,12158735,0.904881918,0.91175792,0.049432681,0.056772628,1.050048319
ATAD2,12252892,0.004966427,0.006358531,0.044088989,0.033341186,0.923943566
ATAD3B,12307505.5,1.89615E-06,3.48093E-06,0.040781248,0.014054765,0.806337946
ATAD3C,12341160,1.78211E-07,3.66326E-07,0.051281092,0.018626323,0.780110893
ATCAY,12720403,8.81312E-18,4.29883E-17,0.184810977,0.08844726,0.658327713
ATE1,12190326,0.116824851,0.131399372,0.023379723,0.018178661,0.95687497
ATF1,12180747,0.277145865,0.299196128,0.029881023,0.020109301,0.923121204
ATF2,12226015.5,0.009193122,0.011491735,0.037097829,0.026465114,0.92084181
ATF4,11482439,3.70521E-31,3.77931E-30,0.133233108,0.37572118,2.05220236
ATF6,12753513.5,8.39626E-22,5.28615E-21,0.215896714,0.070948891,0.537087232
ATF6B,13307174,1.49509E-41,2.17305E-40,0.369895879,0.138818966,0.505316172
ATF7IP,13205674,2.97107E-42,4.37738E-41,0.325110831,0.081792932,0.423875146
ATF7IP2,12324400.5,2.62485E-06,4.74389E-06,0.048443655,0.023514237,0.828861617
ATG12,12175527.5,0.702684264,0.720918423,0.12374192,0.159277198,1.160817525
ATG13,12532511,8.64204E-13,2.91188E-12,0.132635851,0.052449274,0.651150949
ATG14,12356971.5,1.85865E-08,4.27992E-08,0.054490801,0.018448732,0.762436215
ATG16L2,14285676,8.42576E-85,2.76128E-83,0.930478612,0.256594551,0.344281406
ATG2A,11759619,4.62406E-05,7.28341E-05,0.401496022,0.608961525,1.415995495
ATG2B,12190033,0.154945482,0.172052964,0.025088428,0.022795224,0.981251343
ATG3,12141908,0.850393427,0.86089213,0.211438203,0.24137311,1.096982577
ATG4B,12240508.5,0.015972302,0.019529759,0.059347662,0.042775699,0.894157687
ATG5,12115700.5,0.120112264,0.134903259,0.023972905,0.042941016,1.156505882
ATG7,12094287.5,0.058727938,0.068025279,0.032922022,0.06101441,1.215851961
ATG9A,12201892,0.130290522,0.145783981,0.044318071,0.03315329,0.921120706
ATL2,12206947,0.027896884,0.033302389,0.022603167,0.019350443,0.972854987
ATM,13208598,5.22524E-33,5.7813E-32,0.390246922,0.182288403,0.573393441
ATMIN,12185973.5,0.201286664,0.221286959,0.030694701,0.024831179,0.95416231
ATOX1,12161549.5,0.826712368,0.838384975,0.039007575,0.048813578,1.071980119
ATP11A,12383977,1.30159E-06,2.43719E-06,0.115228631,0.057867652,0.730006474
ATP11B,12229893.5,0.184980221,0.204115289,0.143917822,0.125192693,0.922348237
ATP13A3,11278060.5,3.2044E-112,1.3879E-110,0.012728929,0.277443158,3.407511575
ATP1A1,11992992.5,0.060026234,0.069426477,0.30119292,0.511154457,1.526988805
ATP1A2,12286437,2.75674E-05,4.43952E-05,0.039975207,0.015141023,0.818992482
ATP1A3,12526727,1.38978E-14,5.42014E-14,0.093324811,0.032968117,0.683249005
ATP1A4,12300291,1.63791E-06,3.03269E-06,0.037718375,0.01443943,0.827490419
ATP1B3,11695231,2.23661E-59,5.08636E-58,0.006826383,0.15797131,2.452605464
ATP2A2,12223203.5,0.021777463,0.026321687,0.030289426,0.029897074,0.996923072
ATP2A3,12292130.5,2.51583E-05,4.07516E-05,0.050019286,0.02285142,0.815490619
ATP2B1,11763063,2.42397E-06,4.40114E-06,0.352824615,0.56816754,1.478487573
ATP2B1-AS1,11943497.5,0.012316707,0.015208839,0.326832094,0.511417836,1.435285596
ATP2B4,12487567.5,9.8049E-14,3.58087E-13,0.113433683,0.032194047,0.614353345
ATP5A1,12364935.5,2.63089E-08,5.94225E-08,0.059551988,0.021898493,0.759826949
ATP5B,12202976,0.209706777,0.229986348,0.064283536,0.062134191,0.986692029
ATP5C1,12203597.5,0.113661683,0.128092318,0.042818066,0.03615673,0.952433504
ATP5D,12480281.5,1.25288E-10,3.5106E-10,0.105779057,0.052969819,0.73986057
ATP5E,13150192,2.45721E-16,1.09281E-15,1.019309314,0.812774975,0.815021874
ATP5EP2,13245148,1.88547E-37,2.40753E-36,0.343182568,0.142568063,0.544479403
ATP5F1,12320667.5,0.00235986,0.003110036,0.128808877,0.103853328,0.889593539
ATP5G1,12245914,0.001898601,0.002524146,0.038324975,0.022537516,0.883529939
ATP5G2,12237416,0.038973629,0.045846009,0.067177043,0.060027813,0.956513619
ATP5G3,12134553,0.425280398,0.449477836,0.022106532,0.037602423,1.129856305
ATP5H,12264517.5,0.001859453,0.002475537,0.052734746,0.032021931,0.861877074
ATP5I,12331026.5,0.000499781,0.000701223,0.116873898,0.084681082,0.849635442
ATP5J,12303840,0.003003985,0.003919369,0.13111563,0.100550223,0.866140908
ATP5J2,12165313.5,0.793446293,0.807785684,0.063927561,0.0683211,1.027263313
ATP5L,12491713.5,6.27966E-07,1.22509E-06,0.239602232,0.167675568,0.78645799
ATP5O,12192015,0.201670843,0.221624505,0.033639949,0.034485075,1.006458031
ATP5S,12356896,2.65832E-07,5.37588E-07,0.062859742,0.026504476,0.772899202
ATP6AP1,12118789.5,0.539509647,0.562209364,0.173598324,0.228274763,1.201890046
ATP6AP1L,12279630,4.35668E-05,6.87716E-05,0.036200925,0.017225134,0.857779832
ATP6AP2,12401852.5,0.000231471,0.000335471,0.248225273,0.204816069,0.874340056
ATP6V0A1,12510833.5,2.95859E-07,5.95241E-07,0.20405322,0.162106479,0.860770533
ATP6V0A2,12383385,1.94251E-07,3.97212E-07,0.077838276,0.042775512,0.799713233
ATP6V0B,12649385,3.17055E-05,5.06806E-05,0.96060337,0.898287983,0.941091186
ATP6V0D1,12253545,0.30683614,0.329753204,0.517177495,0.569643785,1.08539407
ATP6V0E1,12193467,0.712359079,0.730496478,0.603424814,0.688532955,1.121470379
ATP6V1A,13206385.5,3.08663E-32,3.30891E-31,0.450128525,0.222880182,0.584823103
ATP6V1B2,12372692,0.053973242,0.062711698,0.919783522,0.993672256,1.072653047
ATP6V1C1,11443810.5,7.68574E-51,1.44832E-49,0.049709343,0.30308878,2.724445353
ATP6V1D,11953404,0.000105504,0.000159142,0.091239324,0.177001533,1.455059186
ATP6V1E1,11690564,6.88966E-09,1.65733E-08,0.29077913,0.526362196,1.607167119
ATP6V1F,11472506.5,5.10478E-50,9.32163E-49,0.053117227,0.281336615,2.518003974
ATP6V1G1,10843828.5,1.88425E-39,2.56562E-38,0.506658301,1.210047566,2.164777713
ATP6V1H,12206050.5,0.17350692,0.19199591,0.049983974,0.060996937,1.074811998
ATP8A1,12204130,0.023337558,0.028096998,0.025264504,0.011882008,0.89074535
ATP8B1,12313264.5,1.95189E-07,3.98846E-07,0.038125893,0.01166144,0.804474549
ATP8B2,12379440,8.29448E-10,2.1756E-09,0.057820768,0.016696883,0.734762127
ATP9B,12496507.5,2.62678E-11,7.83399E-11,0.105394796,0.055814329,0.755302381
ATPAF2,12322207,7.45131E-09,1.78347E-08,0.036486308,0.00428906,0.75920241
ATPIF1,12402282,8.16319E-08,1.74804E-07,0.118327459,0.05596215,0.710671616
ATR,12259919.5,8.86082E-05,0.000134956,0.026391983,0.010291277,0.869752797
ATRAID,12183230,0.238848918,0.260093345,0.025397745,0.026598987,1.009796285
ATRX,12555317,1.0157E-10,2.86463E-10,0.222959527,0.103914163,0.628197092
ATXN1,11907169.5,6.61732E-06,1.14482E-05,0.124930384,0.218056517,1.419194568
ATXN2,12890686.5,3.97925E-27,3.37239E-26,0.229003033,0.076526667,0.532607349
ATXN2L,12160840.5,0.872517427,0.882138147,0.058198607,0.076794539,1.119647125
ATXN3,12847792.5,7.55995E-22,4.77357E-21,0.223463054,0.117161142,0.668518782
ATXN7,12432249.5,1.56201E-06,2.9015E-06,0.158169485,0.104162294,0.788533844
ATXN7L3,12361012,4.92131E-07,9.70858E-07,0.071426453,0.028717817,0.746763199
ATXN7L3B,12213998,0.007588136,0.009561716,0.024389601,0.012349508,0.900997586
AUP1,12243890.5,0.006666974,0.00843798,0.050985513,0.032063903,0.87233247
AURKAIP1,12444584,1.59057E-09,4.07525E-09,0.107285455,0.04733778,0.70687165
AVIL,12467835,6.16411E-14,2.29298E-13,0.08148544,0.01539461,0.63017828
AVL9,12583995,8.71985E-14,3.19951E-13,0.15704858,0.06565784,0.640580401
AXIN1,12172583,0.579661624,0.601432953,0.044030364,0.047712339,1.026066174
AZI2,12160030.5,0.883716632,0.892309472,0.050785423,0.055341192,1.030780155
AZIN1,11464013,8.47542E-24,5.96323E-23,0.187310606,0.431335948,1.857628146
B2M,14468493.5,2.60751E-51,5.03904E-50,31.23187277,26.31191181,0.842958738
B3GALNT2,12539824.5,4.59446E-14,1.72924E-13,0.108614188,0.040699201,0.670057279
B3GALT4,12262833,1.68023E-05,2.7775E-05,0.028218575,0.006883865,0.829925213
B3GNT2,12319886,5.10752E-07,1.00575E-06,0.060086438,0.018096399,0.733076215
B3GNT5,10405395.5,6.4041E-177,4.6777E-175,0.077086162,0.697537506,4.55945657
B3GNT6,12487648.5,3.5754E-13,1.24763E-12,0.085276312,0.028991078,0.691589184
B3GNT8,12526711.5,5.93892E-16,2.55299E-15,0.097128426,0.02308184,0.61900973
B3GNTL1,12204699.5,0.092771327,0.105376392,0.036752613,0.02851919,0.938546061
B4GALT1,12123790,0.625345217,0.645645715,0.201558976,0.23674048,1.117749147
B4GALT4,12191174,0.091947697,0.104509719,0.023608563,0.011457492,0.899439214
B4GALT5,12532617.5,3.01395E-05,4.83028E-05,0.464542816,0.386319558,0.860755065
B9D2,12331803,4.643E-07,9.17214E-07,0.064547877,0.021292791,0.732617655
