gene,U_statistic_MWU,p_value_MWU,FDR,hbNeutrophils,htNeutrophils,fold_change
TMED5,12095900,0.166442945,0.184368557,0.067726281,0.088787137,1.127679611
TMED7,12189734,0.284458772,0.306775545,0.044470804,0.047207351,1.019312889
TMED8,12251823,0.004015471,0.005183368,0.063664886,0.038435989,0.843191075
TMED9,12105732,0.129994465,0.145490494,0.041993941,0.069367174,1.196620692
TMEM105,12330870.5,1.1663E-07,2.4584E-07,0.043727162,0.016067471,0.803764752
TMEM106A,12784527,1.09321E-21,6.82284E-21,0.197794998,0.086801638,0.623776229
TMEM106B,12283959.5,0.000304178,0.000434923,0.054508798,0.036817822,0.883407452
TMEM107,12328119,8.99382E-07,1.71803E-06,0.048351497,0.023005068,0.825888719
TMEM108,12295655.5,1.36035E-06,2.54335E-06,0.032065575,0.009483886,0.825340934
TMEM11,12350154,3.10668E-09,7.72325E-09,0.045420663,0.010178822,0.752940567
TMEM115,12243668.5,0.001977241,0.002624244,0.03911003,0.018753774,0.850688953
TMEM116,12621489.5,7.60736E-18,3.72122E-17,0.121685281,0.037783817,0.616730457
TMEM120A,12173842.5,0.708191211,0.72639534,0.122524296,0.129454096,1.031535094
TMEM120B,12670821.5,1.40783E-22,9.24152E-22,0.122898852,0.025046905,0.555467732
TMEM121B,12302692,1.17151E-07,2.46817E-07,0.045506335,0.00827817,0.73917229
TMEM123,12658455,2.09692E-11,6.31361E-11,0.325844547,0.19472843,0.690083432
TMEM127,12331477,0.023689996,0.028493452,0.321769031,0.324074737,1.005502961
TMEM130,12530480.5,2.08958E-12,6.84001E-12,0.123345152,0.054984824,0.690073782
TMEM131,12220703,0.028084703,0.033503399,0.0398656,0.025049315,0.891923044
TMEM131L,12328239.5,2.72749E-06,4.91393E-06,0.060747405,0.023914907,0.766841512
TMEM134,12613206,1.00592E-19,5.62623E-19,0.109619716,0.023148962,0.581952338
TMEM138,12339273,1.19873E-06,2.2525E-06,0.056552477,0.032949835,0.846513844
TMEM140,11890045.5,0.000956426,0.001308898,0.300811377,0.528616138,1.572322134
TMEM14B,12305951.5,9.54383E-05,0.000144821,0.05708764,0.041868994,0.901377541
TMEM150B,12250800,0.001444188,0.001940064,0.032726414,0.021836712,0.916201436
TMEM154,14527092,5.51326E-77,1.68506E-75,1.385458511,0.640092956,0.497285978
TMEM156,12338558,2.75212E-06,4.95615E-06,0.063472862,0.027926699,0.778800626
TMEM158,11655739.5,5.49488E-74,1.58927E-72,0.003755411,0.176467406,2.710359395
TMEM164,12952050,2.21412E-32,2.39442E-31,0.346513971,0.067313066,0.370798559
TMEM165,12161195,0.879927813,0.888900353,0.083039063,0.09839542,1.08518834
TMEM167A,12167911,0.80714687,0.819893797,0.135022585,0.1375129,1.010722697
TMEM167B,12120691,0.632254017,0.652622439,0.239094719,0.283583578,1.13228163
TMEM168,12414385.5,3.46891E-10,9.38729E-10,0.071268602,0.020940805,0.701306542
TMEM17,12588750.5,1.78051E-18,9.09674E-18,0.100482218,0.029310313,0.640012774
TMEM170A,12165267,0.779625745,0.794560044,0.048828545,0.062978205,1.096880265
TMEM170B,12252241,0.004333071,0.00557414,0.048772718,0.035862401,0.911571511
TMEM179B,12307651.5,0.000135954,0.000202697,0.075166339,0.047788663,0.84118837
TMEM181,12429762,5.3863E-11,1.56101E-10,0.069023308,0.028640844,0.757094807
TMEM183A,12270366,0.01288414,0.015875397,0.120169453,0.096492272,0.89108631
TMEM184A,12429181,1.3541E-10,3.78192E-10,0.075454943,0.028495478,0.728054164
TMEM184B,12206982,0.217710407,0.238339387,0.073547196,0.081078211,1.044099892
TMEM185A,12386638,6.41799E-09,1.54689E-08,0.067470003,0.025192879,0.743299776
TMEM185B,12013118.5,4.87337E-09,1.1899E-08,0.016297481,0.05655323,1.354607426
TMEM189,12732850.5,4.10216E-24,2.93659E-23,0.140100589,0.040518769,0.580399161
TMEM19,12573410,9.47637E-18,4.6119E-17,0.105773672,0.024594493,0.600099025
TMEM192,13357055.5,5.85792E-45,9.19661E-44,0.348188074,0.127600096,0.504755871
TMEM199,12326812,6.7929E-05,0.000105056,0.080987464,0.056418412,0.862135814
TMEM2,12290854,0.000554061,0.000774607,0.078730661,0.043688708,0.800847295
TMEM205,12116584.5,0.081690699,0.093281947,0.0155768,0.03330712,1.157181827
TMEM208,12157502,0.920117247,0.926026454,0.036453496,0.046592658,1.075847633
TMEM212,12261739.5,5.39418E-05,8.43477E-05,0.027784063,0.008339827,0.844456802
TMEM213,13006286,1.13302E-31,1.18083E-30,0.233538781,0.08173771,0.541058319
TMEM216,12251319.5,0.000683613,0.000947886,0.035744642,0.015253273,0.845893839
TMEM219,12226952.5,0.02623755,0.031430361,0.056355402,0.032131732,0.842273208
TMEM222,12206284.5,0.189436568,0.208792043,0.070824693,0.064726984,0.963714744
TMEM230,11986943,4.47472E-06,7.87534E-06,0.045740003,0.101069307,1.387014197
TMEM231,12277938.5,6.47782E-05,0.00010031,0.036520175,0.017733689,0.859534733
TMEM236,12394051,7.52305E-11,2.1499E-10,0.057560635,0.012979932,0.711983365
TMEM241,12392407.5,2.89996E-10,7.90974E-10,0.056684278,0.019495726,0.758372818
TMEM243,12184087,0.205704552,0.225711971,0.021467451,0.015646531,0.950957766
TMEM245,12637945.5,1.0104E-18,5.26203E-18,0.122624104,0.043585058,0.640484257
TMEM248,12143312,0.800432353,0.814128682,0.095495462,0.093686947,0.990615841
TMEM250,12347040,2.03828E-08,4.66612E-08,0.056329375,0.021871531,0.775597738
TMEM251,11891013,3.26896E-22,2.1105E-21,0.015251162,0.098718832,1.742095177
TMEM254-AS1,12320339,2.61407E-07,5.29013E-07,0.041403941,0.015139386,0.810539968
TMEM258,11921129.5,2.47173E-08,5.60038E-08,0.059373689,0.139581175,1.512186441
TMEM259,12154049,0.988174573,0.989207508,0.061131084,0.067117722,1.037805028
TMEM260,12427132.5,9.42148E-11,2.66854E-10,0.08085218,0.029444877,0.711319336
TMEM266,12406084,2.57826E-09,6.46169E-09,0.066680207,0.031709177,0.786638077
TMEM267,12422240,7.45966E-09,1.78498E-08,0.087780313,0.046848898,0.7787549
TMEM30A,12385166.5,0.000203698,0.000297018,0.178885871,0.135957135,0.844523293
TMEM33,12356399,0.000502265,0.000704479,0.166579297,0.120341123,0.824725158
TMEM38A,12171446,0.522051029,0.544872586,0.021531725,0.023059791,1.012867247
TMEM41A,12625695.5,1.78434E-20,1.04266E-19,0.108677921,0.027998512,0.60816684
TMEM41B,12095965,0.023304246,0.028060812,0.019960154,0.047268649,1.233038085
TMEM43,12701551.5,3.14072E-19,1.69717E-18,0.187133974,0.075216682,0.60642186
TMEM44,12539770.5,2.87348E-16,1.26943E-15,0.096805809,0.022847462,0.618831021
TMEM45B,12228579.5,0.028588902,0.03407658,0.049290734,0.034024169,0.895802223
TMEM5-AS1,12233416.5,0.000819474,0.001128643,0.022246995,0.011403822,0.909240524
TMEM50A,12827205.5,7.85189E-16,3.35027E-15,0.376854253,0.243560004,0.718835238
TMEM50B,12134534.5,0.451323923,0.4754291,0.024488236,0.039874754,1.126416636
TMEM56,12207283,0.136772148,0.152758733,0.043013503,0.041286182,0.987682934
TMEM59,12753178.5,1.51528E-11,4.63126E-11,0.427853126,0.297937683,0.752578613
TMEM60,12104567.5,0.059318126,0.068662763,0.027750486,0.040779887,1.104256048
TMEM63A,12432157,1.8394E-08,4.23671E-08,0.094504493,0.05543387,0.796219574
TMEM65,12186281,0.399121989,0.423336503,0.062887157,0.058630149,0.973412258
TMEM67,12507865.5,5.88118E-14,2.19152E-13,0.088427652,0.03361805,0.704772654
TMEM68,12333913.5,8.09908E-05,0.000123989,0.086264955,0.061243758,0.863636889
TMEM70,12143728.5,0.737598352,0.754851603,0.045241466,0.053882754,1.060655088
TMEM71,12377542,0.016593737,0.020266603,0.545602133,0.496255622,0.923235121
TMEM78,12364980,7.94804E-09,1.89867E-08,0.055129332,0.017983171,0.756184976
TMEM80,12253333,0.000818284,0.001127365,0.036115838,0.017166636,0.857888489
TMEM87A,12280039.5,0.001275501,0.001723937,0.064424375,0.04422586,0.875047002
TMEM88,11858910,9.96309E-22,6.23615E-21,0.027329567,0.11879544,1.734346547
TMEM8A,12466557,5.62937E-09,1.36426E-08,0.128468273,0.072497323,0.752003837
TMEM91,12496571,9.95916E-12,3.07994E-11,0.117982498,0.053309209,0.699483379
TMEM94,12333591,5.4264E-09,1.3171E-08,0.040168036,0.006656451,0.756088811
TMEM98,12456621,7.14271E-13,2.42565E-12,0.072019947,0.019754927,0.691186264
TMEM9B,12107016.5,0.075314474,0.086367144,0.027472226,0.045372768,1.143552585
TMF1,12336542.5,0.000943291,0.001292358,0.14860761,0.114122071,0.859719161
TMIGD2,12295455,1.14024E-05,1.92061E-05,0.03871816,0.019365813,0.857643346
TMOD2,12239501.5,0.002872253,0.003753745,0.037349975,0.019159172,0.864827276
TMOD3,12627455.5,1.88863E-11,5.71764E-11,0.224607221,0.139739768,0.736298696
TMPO,12300489.5,1.58539E-06,2.94113E-06,0.037630742,0.01079559,0.801007765
TMPRSS11B,12371904.5,3.74617E-09,9.23049E-09,0.056846055,0.01748037,0.744495783
TMPRSS2,12211046,0.177009276,0.195620329,0.062859135,0.06424359,1.00864832
TMSB10,11958448.5,0.008676164,0.010866006,0.234945283,0.365158446,1.392007816
TMSB15B,12319306,6.5896E-08,1.42883E-07,0.038032461,0.008566084,0.782145258
TMSB4X,14678634,9.8021E-61,2.28336E-59,15.87448895,12.37836069,0.781104998
TMTC1,12212618,0.008696297,0.010889639,0.024477244,0.009641733,0.878099468
TMUB1,12171390,0.523435724,0.546251666,0.026392263,0.032242789,1.047327924
TMUB2,12952489,4.26788E-23,2.87158E-22,0.325342565,0.154594565,0.595926893
TMX1,12136084,0.495916774,0.519356825,0.032383797,0.038178107,1.044706313
TMX4,13315529.5,1.02528E-40,1.44629E-39,0.442201493,0.147317021,0.453336586
TNC,12334452,7.8485E-09,1.87541E-08,0.038362033,0.009107348,0.784236108
TNF,11944014,7.23653E-29,6.58623E-28,0.002786996,0.082697179,1.799009727
TNFAIP2,13152506.5,2.13006E-19,1.16787E-18,0.887925939,0.690552684,0.799651667
TNFAIP3,7601098,0,0,0.108929914,3.316569708,16.55940153
TNFAIP6,10207373,1.4273E-136,7.5012E-135,0.186132963,1.006492389,3.895139321
TNFAIP8,12462531,5.46565E-08,1.19534E-07,0.150742598,0.100555701,0.797606651
TNFAIP8L1,12433408,1.49923E-06,2.78729E-06,0.133530339,0.096122981,0.837891363
TNFAIP8L2,12652997,1.38199E-24,1.01547E-23,0.153319605,0.010709211,0.430797322
TNFAIP8L3,12332112.5,5.14516E-06,8.99151E-06,0.058262814,0.03352376,0.840893455
TNFRSF10B,12187179,0.369552131,0.393425125,0.05296618,0.05689395,1.026151882
TNFRSF10C,13470950,2.50235E-44,3.85139E-43,0.55885784,0.203739506,0.458729042
TNFRSF12A,12188361,0.18961325,0.208960057,0.030431977,0.019593624,0.915097522
TNFRSF13B,12426352.5,9.6572E-12,2.99085E-11,0.064259714,0.015951134,0.700846486
TNFRSF14,11939905.5,8.57806E-05,0.000130811,0.125197431,0.216636689,1.411107142
TNFRSF14-AS1,12161068,0.791300769,0.805791745,0.021482004,0.031432772,1.083826623
TNFRSF1A,11704680,7.2087E-06,1.24363E-05,0.515819349,0.772313825,1.418394971
TNFRSF1B,10760766.5,1.36295E-27,1.17708E-26,1.107104581,1.785097409,1.56296308
TNFRSF9,12438399,4.18912E-10,1.1262E-09,0.092658775,0.039876816,0.722029496
TNFSF10,14623543,4.0374E-119,1.8412E-117,0.821000456,0.137911711,0.256076938
TNFSF12,12285493,4.76876E-05,7.49489E-05,0.04348174,0.022412758,0.850262665
TNFSF13,12233400.5,0.037882599,0.044599115,0.067876949,0.051844751,0.902894885
TNFSF13B,13227841,4.09052E-28,3.5939E-27,0.598818639,0.341163458,0.629828735
TNFSF14,12029381,0.077977947,0.089278948,0.231542845,0.352936279,1.369238077
TNFSF15,12089521.5,0.136945895,0.152932971,0.060910263,0.159395765,1.622794636
TNIP1,11987191,0.067965592,0.078168593,0.421872429,0.582530472,1.309495247
TNIP2,12217810,0.018162945,0.022104832,0.032523319,0.019703222,0.901192221
TNIP3,12277548,1.36745E-05,2.28235E-05,0.030395136,0.010738391,0.845974017
TNK2,12498584.5,1.35189E-14,5.27477E-14,0.094803225,0.021485762,0.618193409
TNKS,12201223,0.087780106,0.09995729,0.030563092,0.024480071,0.952397415
TNKS2,12212293.5,0.123073804,0.138139487,0.060039853,0.052771418,0.953782067
TNNI2,12170045,0.582112958,0.603758313,0.035678734,0.031430786,0.968037294
TNNT2,12455945,1.55888E-12,5.15182E-12,0.074326444,0.02083103,0.688166079
TNPO1,12273357,0.006250599,0.007924965,0.088079194,0.077660319,0.943774067
TNPO2,12179623.5,0.317508394,0.340585544,0.020530338,0.022915673,1.020256783
TNPO3,12402601,1.29594E-06,2.42766E-06,0.132448325,0.085082836,0.793769757
TNRC18,12919917,2.58207E-29,2.40853E-28,0.229375901,0.074344378,0.525317458
TNRC6A,12725943.5,2.86656E-21,1.75102E-20,0.170567514,0.064273311,0.603071845
TNRC6B,13232031,1.8662E-34,2.15614E-33,0.447487605,0.189344148,0.526091967
TNRC6C,12244803.5,0.017474453,0.021303015,0.068137699,0.058938638,0.94437024
TNS2,12743471.5,5.22932E-22,3.33863E-21,0.160731224,0.055252014,0.591095731
TOB1,12740202,3.46408E-18,1.73084E-17,0.256703968,0.111444889,0.589580725
TOGARAM1,12439000,1.21757E-09,3.1448E-09,0.089144228,0.041428676,0.743972368
TOGARAM2,12203958,0.087601983,0.099794011,0.029030334,0.02745242,0.987502153
TOLLIP,12246677,0.034550723,0.040883124,0.083220897,0.075154253,0.955295941
TOM1,11411627.5,2.49074E-32,2.68346E-31,0.128705927,0.412073714,2.254225695
TOM1L2,12217229.5,0.014953296,0.018322783,0.031067433,0.016967929,0.890098303
TOMM20,11954749,5.47208E-12,1.73269E-11,0.024284703,0.102883546,1.646854898
TOMM40,12273519.5,2.09771E-05,3.42817E-05,0.030177265,0.010695921,0.847087369
TOMM7,12303447.5,0.002520967,0.003310713,0.104659838,0.089826444,0.926525298
TONSL,12517371,2.38256E-15,9.81142E-15,0.086047175,0.01861094,0.632042303
TOP1,12148703,0.928675595,0.933767493,0.205121775,0.232541525,1.090689878
TOP2B,12265325.5,0.001553116,0.002081016,0.065600153,0.032716739,0.798044049
TOP3A,12604977,6.03655E-17,2.79126E-16,0.12647252,0.041057169,0.618165058
TOPBP1,12244043,0.00091554,0.001256535,0.032623215,0.012048915,0.841550581
TOPORS,12866327,3.38653E-34,3.897E-33,0.262259405,0.020086252,0.326331087
TOR1A,12287015.5,0.000552277,0.000772363,0.064444914,0.039548121,0.84600187
TOR1AIP1,12488848.5,3.42106E-07,6.84886E-07,0.198396347,0.135192652,0.786200163
TOR1AIP2,12456791,2.2054E-07,4.48946E-07,0.146676422,0.107119763,0.837816712
TOR1B,12167574,0.617429144,0.638160666,0.026955118,0.025131438,0.985314185
TOR2A,12222935,0.001874078,0.002493736,0.023575538,0.006945564,0.862334732
TOR3A,12528903,5.71283E-11,1.65065E-10,0.132479857,0.075775197,0.753140721
TOR4A,12156925.5,0.930292243,0.935174812,0.027022293,0.025379139,0.98677508
TOX4,12756710,9.13515E-16,3.87992E-15,0.275017313,0.149632296,0.663162489
TP53,12525482,1.36839E-16,6.17819E-16,0.085824069,0.019041388,0.635164211
TP53BP1,12211860.5,0.045158079,0.052832562,0.036193192,0.02459639,0.913079002
TP53BP2,12183516.5,0.26337462,0.285143304,0.031244106,0.026090016,0.959880555
TP53I11,12538895.5,7.1426E-09,1.71387E-08,0.206622715,0.118663856,0.710516187
TP53INP1,12538790.5,1.36258E-12,4.52915E-12,0.150886868,0.059848782,0.633075765
TP53INP2,11066375,2.91635E-98,1.13225E-96,0.05340351,0.421715486,3.445175362
TPCN2,12245401,0.000655168,0.000909909,0.033885481,0.01919155,0.88792671
TPD52L2,11866979.5,2.5145E-08,5.69129E-08,0.09445379,0.21513916,1.629624509
TPGS1,12736570,6.13593E-27,5.13452E-26,0.132222535,0.016449264,0.495424925
TPI1,10820372,2.70574E-97,1.04578E-95,0.09606633,0.596355998,3.588273778
TPK1,12228811,0.037393556,0.044047432,0.058254615,0.045041688,0.915018016
TPM1,12603481,9.46061E-15,3.72674E-14,0.144809432,0.066816984,0.67776238
TPM3,12210955,0.62953987,0.649898687,0.872749998,0.93860801,1.067896641
TPM4,9830098,2.684E-135,1.377E-133,0.30851779,1.32062204,3.494450777
TPMT,12560044.5,1.17646E-12,3.92413E-12,0.139872428,0.073981916,0.722094655
TPP1,10812163.5,3.3427E-88,1.15243E-86,0.145935088,0.662897151,3.126019378
TPR,12629732.5,3.24389E-13,1.13794E-12,0.229197327,0.124024893,0.677802111
TPRA1,11959558.5,8.77707E-15,3.46261E-14,0.013427323,0.083186487,1.630438265
