gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
RTN1,718292,1.47004E-05,2.18588E-05,0.099601744,0.075708232,0.878606088
RTN3,843774.5,2.42672E-33,5.07423E-32,0.375569958,0.236203434,0.705228113
RTN4,704548,0.133561291,0.143978451,1.067872027,1.111042533,1.037053157
RTRAF,767921,3.41174E-12,1.08605E-11,0.284320243,0.211500337,0.809144535
RTTN,730614,1.09443E-12,3.66718E-12,0.048482565,0.016311297,0.779205899
RUBCN,763242.5,4.03506E-14,1.62469E-13,0.177470296,0.129938153,0.82696382
RUBCNL,691041,0.031338603,0.035265429,0.027881737,0.017475466,0.916820548
RUFY1,728882,1.78028E-09,4.06158E-09,0.081122951,0.054228797,0.849203621
RUFY3,727717,2.42671E-10,6.15297E-10,0.068184059,0.039438162,0.826212791
RUNDC1,762149,5.25749E-25,6.32457E-24,0.078673329,0.023474311,0.686187098
RUNDC3A-AS1,696376,0.008723316,0.01022987,0.033016229,0.027893889,0.96067022
RUNX1,713400,0.008800171,0.010318757,0.186745533,0.241314948,1.192166083
RUNX2-AS1,703178.5,8.57902E-06,1.3033E-05,0.033384677,0.010804269,0.827114731
RUNX3,618530,2.51193E-09,5.63378E-09,0.091648007,0.305028626,2.129759888
RUSC1,696679,0.001979897,0.002435258,0.033304906,0.028019774,0.959510038
RUVBL1,690884,0.039339403,0.043938921,0.021642637,0.030304528,1.072870343
RUVBL2,741808,1.39228E-11,4.10728E-11,0.07179629,0.067424108,0.974132292
RWDD1,731384.5,5.08767E-06,7.9091E-06,0.202067967,0.165176735,0.876738535
RWDD3,700879.5,4.19108E-05,5.97602E-05,0.030921436,0.017118609,0.89228824
RWDD4,704625.5,0.000560968,0.000723026,0.043811421,0.052811914,1.063817015
RXRA,820319.5,4.58102E-22,4.32115E-21,0.530686034,0.348103639,0.709222292
RXRB,720927.5,3.74643E-08,7.33626E-08,0.072576198,0.041618118,0.81767994
RYBP,635096,0.000158415,0.000214597,0.167089936,0.38198103,1.813012983
RYK,697676,0.0013214,0.001650311,0.023421271,0.038282958,1.123184455
RYR3,736952,6.73434E-12,2.06805E-11,0.06246971,0.043625208,0.881996359
S100A10,706977,0.103138988,0.111963714,1.561171791,1.679096496,1.071107674
S100A11,624849.5,0.000552066,0.000712494,2.209637261,2.660225822,1.195325338
S100A12,1010876.5,4.7463E-113,8.1136E-111,1.537294038,0.342487318,0.269016124
S100A4,884869.5,1.4019E-36,3.59478E-35,2.646065471,1.769442653,0.680448361
S100A6,993321,7.75698E-83,6.99852E-81,3.929408869,2.004473596,0.521949211
S100A8,1032542,7.644E-107,1.064E-104,6.876850821,2.365099218,0.353068131
S100A9,1071256.5,1.4893E-128,3.3749E-126,11.4411054,3.722566879,0.331052365
S100P,715863,2.00248E-08,4.04732E-08,0.061091537,0.037757972,0.852614046
S100PBP,764542.5,2.70855E-19,1.93633E-18,0.1108488,0.056036262,0.736571061
S100Z,720103,8.46218E-12,2.56551E-11,0.038938589,0.014092952,0.817530347
S1PR3,745364,1.46848E-13,5.53534E-13,0.095288508,0.059065482,0.811841182
S1PR4,766139,6.4694E-25,7.7347E-24,0.103556737,0.027562939,0.621509525
SAAL1,700267,1.01588E-06,1.70462E-06,0.026964684,0.016631734,0.916796723
SACM1L,734227,1.96331E-13,7.25463E-13,0.058376204,0.031553521,0.827618533
SAE1,697998,0.007332679,0.008653219,0.034752948,0.033502592,0.99052599
SAFB,703648,0.002789799,0.003393733,0.056167482,0.049454611,0.956237156
SAFB2,773149.5,2.14046E-17,1.26022E-16,0.16357977,0.097853003,0.747984343
SAG,760806,3.8025E-18,2.42009E-17,0.098770906,0.05682197,0.785969836
SAMD4A,719595.5,2.9621E-11,8.4001E-11,0.044580484,0.017001348,0.805513678
SAMD4B,651399,0.021663782,0.024651628,0.172732653,0.307319347,1.498548297
SAMD8,710938,0.000112065,0.000153711,0.060739439,0.046471119,0.909673579
SAMD9,743143,1.66075E-16,8.92572E-16,0.074487774,0.03128498,0.748400131
SAMD9L,744550,4.94213E-18,3.11892E-17,0.082247027,0.020873545,0.658032269
SAMHD1,898286.5,1.71746E-43,6.08542E-42,1.411990753,0.783638293,0.583656178
SAMM50,712390,2.2331E-07,4.02281E-07,0.038971933,0.021179073,0.869358869
SAMMSON,747225,8.02984E-16,3.96769E-15,0.078927786,0.046051289,0.813363248
SAMSN1,298396.5,1.0451E-144,3.0859E-142,0.191453785,1.944350329,7.07214482
SAP18,730692.5,5.42511E-05,7.65899E-05,0.223976003,0.22629055,1.007205925
SAP30,723577.5,3.76355E-08,7.36534E-08,0.077586946,0.045451825,0.816172703
SAP30BP,721136,1.14327E-07,2.12596E-07,0.061514384,0.041483106,0.873809914
SAP30L,744316,4.06406E-16,2.08351E-15,0.10429707,0.025448116,0.608732004
